game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
0029600345,00,1610612745,HOU,Houston,40,16,13,13,5,5,1.0,16.0,10.0,,1610612759,SAS,San Antonio,46,17,12,22,0.0,14.0,13.0,
0029600344,00,1610612761,TOR,Toronto,50,16,29,11,9,9,0.0,10.0,8.0,,1610612749,MIL,Milwaukee,34,11,13,7,0.0,21.0,14.0,
0029600347,00,1610612750,MIN,Minnesota,30,16,13,3,7,4,0.0,13.0,9.0,,1610612758,SAC,Sacramento,30,18,10,10,1.0,16.0,12.0,
0029600343,00,1610612766,CHH,Charlotte,26,11,6,0,1,3,0.0,14.0,11.0,,1610612741,CHI,Chicago,16,25,13,25,0.0,9.0,7.0,
0029600354,00,1610612763,VAN,Vancouver,38,6,23,0,0,2,2.0,11.0,10.0,,1610612743,DEN,Denver,42,8,13,22,0.0,8.0,12.0,
0029600350,00,1610612762,UTA,Utah,40,5,19,7,5,4,2.0,16.0,7.0,,1610612753,ORL,Orlando,46,12,5,9,0.0,17.0,10.0,
0029600353,00,1610612765,DET,Detroit,32,26,12,11,4,6,1.0,14.0,8.0,,1610612754,IND,Indiana,28,7,8,6,2.0,18.0,11.0,
0029600352,00,1610612739,CLE,Cleveland,40,7,19,21,4,7,0.0,16.0,6.0,,1610612761,TOR,Toronto,38,11,8,6,0.0,19.0,11.0,
0029600355,00,1610612742,DAL,Dallas,28,8,9,1,2,2,2.0,14.0,11.0,,1610612757,POR,Portland,64,24,24,34,2.0,17.0,15.0,
0029600356,00,1610612760,SEA,Seattle,42,12,17,26,5,7,1.0,21.0,8.0,,1610612746,LAC,Los Angeles,34,15,14,6,2.0,23.0,5.0,
0029600359,00,1610612755,PHI,Philadelphia,50,16,14,7,18,6,0.0,22.0,12.0,,1610612741,CHI,Chicago,40,23,18,12,0.0,12.0,9.0,
0029600362,00,1610612747,LAL,Los Angeles,36,17,12,7,6,7,1.0,21.0,10.0,,1610612750,MIN,Minnesota,28,9,4,17,1.0,14.0,8.0,
0029600361,00,1610612749,MIL,Milwaukee,46,22,24,19,0,1,0.0,14.0,7.0,,1610612753,ORL,Orlando,38,15,21,0,0.0,14.0,7.0,
0029600363,00,1610612745,HOU,Houston,34,11,5,3,8,4,1.0,16.0,9.0,,1610612748,MIA,Miami,20,12,12,21,1.0,16.0,8.0,
0029600357,00,1610612765,DET,Detroit,28,7,8,2,4,1,0.0,15.0,10.0,,1610612752,NYK,New York,40,13,7,14,0.0,13.0,4.0,
0029600360,00,1610612737,ATL,Atlanta,34,21,2,6,9,6,1.0,10.0,4.0,,1610612766,CHH,Charlotte,38,17,12,0,1.0,13.0,15.0,
0029600366,00,1610612766,CHH,Charlotte,48,20,14,0,6,10,1.0,16.0,7.0,,1610612738,BOS,Boston,38,11,18,8,1.0,19.0,11.0,
0029600367,00,1610612739,CLE,Cleveland,34,13,15,10,17,12,1.0,17.0,4.0,,1610612762,UTA,Utah,40,6,6,4,0.0,18.0,10.0,
0029600371,00,1610612764,WAS,Washington,42,15,10,11,4,2,0.0,11.0,5.0,,1610612763,VAN,Vancouver,36,15,15,4,1.0,15.0,11.0,
0029600368,00,1610612761,TOR,Toronto,42,18,12,2,2,2,0.0,15.0,12.0,,1610612754,IND,Indiana,52,18,24,27,0.0,14.0,9.0,
0029600374,00,1610612741,CHI,Chicago,46,20,22,34,1,3,1.0,12.0,7.0,,1610612751,NJN,New Jersey,38,4,23,16,0.0,19.0,6.0,
0029600375,00,1610612750,MIN,Minnesota,32,7,19,12,9,4,0.0,10.0,3.0,,1610612762,UTA,Utah,50,10,2,7,2.0,14.0,8.0,
0029600380,00,1610612764,WAS,Washington,60,16,13,28,3,4,2.0,18.0,11.0,,1610612757,POR,Portland,46,8,14,7,0.0,14.0,14.0,
0029600377,00,1610612748,MIA,Miami,44,34,6,13,1,1,1.0,14.0,9.0,,1610612759,SAS,San Antonio,38,15,11,1,1.0,16.0,6.0,
0029600373,00,1610612739,CLE,Cleveland,30,7,4,0,0,4,0.0,14.0,7.0,,1610612753,ORL,Orlando,44,23,7,10,2.0,18.0,7.0,
0029600378,00,1610612756,PHX,Phoenix,58,21,21,9,18,9,0.0,12.0,12.0,,1610612743,DEN,Denver,40,10,20,8,0.0,15.0,15.0,
0029600372,00,1610612737,ATL,Atlanta,28,18,4,8,7,6,1.0,9.0,6.0,,1610612752,NYK,New York,24,21,9,9,0.0,16.0,10.0,
0029600376,00,1610612745,HOU,Houston,56,13,12,4,4,2,1.0,12.0,6.0,,1610612749,MIL,Milwaukee,34,6,13,13,0.0,10.0,4.0,
0029600381,00,1610612765,DET,Detroit,46,14,8,4,1,0,0.0,13.0,12.0,,1610612741,CHI,Chicago,40,34,10,18,0.0,11.0,9.0,
0029600389,00,1610612744,GSW,Golden State,44,10,32,20,8,9,0.0,17.0,5.0,,1610612742,DAL,Dallas,42,12,11,9,1.0,18.0,4.0,
